id_key,transmitter_no,vessel_name,latitude,longitude,reportdate,speed,heading,gross_tonnage,length,width,registered_gear_type,begin_date,end_date,registered_fishing_region,status,locale,vbd_id_key,vbd_dist,vbd_dtime,segment,velocity,heading_change,distance,time_elapsed,geom
VMS_74067_20140114090000_m5p999_99p743,74067,74067,-5.999,99.743,2014-01-14 09:00:00,0,165,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E6100000643BDF4F8DEF5840E5D022DBF9FE17C0
VMS_74067_20140114091400_m6_99p744,74067,74067,-6,99.744,2014-01-14 09:14:00,0,162,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E6100000560E2DB29DEF584000000000000018C0
VMS_74067_20140114092300_m6p001_99p745,74067,74067,-6.001,99.745,2014-01-14 09:23:00,0,166,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E610000048E17A14AEEF58401B2FDD24060118C0
VMS_74067_20140114100000_m6p003_99p752,74067,74067,-6.003,99.752,2014-01-14 10:00:00,0,143,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E6100000E3A59BC420F05840508D976E120318C0
VMS_74067_20140114103100_m6p004_99p756,74067,74067,-6.004,99.756,2014-01-14 10:31:00,0,169,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E6100000AAF1D24D62F058406ABC7493180418C0
VMS_74067_20140114103800_m6p005_99p757,74067,74067,-6.005,99.757,2014-01-14 10:38:00,0,130,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E61000009CC420B072F0584085EB51B81E0518C0
VMS_74067_20140114105700_m6p005_99p758,74067,74067,-6.005,99.758,2014-01-14 10:57:00,0,25,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E61000008D976E1283F0584085EB51B81E0518C0
VMS_74067_20140114110000_m6p005_99p759,74067,74067,-6.005,99.759,2014-01-14 11:00:00,0,165,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E61000007F6ABC7493F0584085EB51B81E0518C0
VMS_74067_20140114113900_m6p006_99p764,74067,74067,-6.006,99.764,2014-01-14 11:39:00,0,160,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E610000037894160E5F05840A01A2FDD240618C0
VMS_74067_20140114120000_m6p006_99p765,74067,74067,-6.006,99.765,2014-01-14 12:00:00,0,36,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E6100000295C8FC2F5F05840A01A2FDD240618C0
VMS_74067_20140114121700_m6p006_99p767,74067,74067,-6.006,99.767,2014-01-14 12:17:00,0,181,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E61000000C022B8716F15840A01A2FDD240618C0
VMS_74067_20140114130000_m6p007_99p771,74067,74067,-6.007,99.771,2014-01-14 13:00:00,0,42,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E6100000D34D621058F15840BA490C022B0718C0
VMS_74067_20140114140000_m6p004_99p776,74067,74067,-6.004,99.776,2014-01-14 14:00:00,0,39,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E61000008B6CE7FBA9F158406ABC7493180418C0
