id_Key,TRANSMITTER_NO,VESSEL_NAME,LATITUDE,LONGITUDE,REPORTDATE,SPEED,HEADING,GROSS_TONNAGE,LENGTH,WIDTH,REGISTERED_GEAR_TYPE,BEGIN_DATE,END_DATE,REGISTERED_FISHING_REGION
VMS_4949257_20140101001500_m8p4131_66p2825,4949257,4949257,-8.4131,66.2825,20140101001500,59,90,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140101011500_m8p4164_66p3825,4949257,4949257,-8.4164,66.3825,20140101011500,59,90,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140101021500_m8p3575_66p4372,4949257,4949257,-8.3575,66.4372,20140101021500,59,5,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140101031500_m8p2561_66p4467,4949257,4949257,-8.2561,66.4467,20140101031500,59,0,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140101041500_m8p1547_66p4483,4949257,4949257,-8.1547,66.4483,20140101041500,65,360,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140101075400_m8p0739_66p2739,4949257,4949257,-8.0739,66.2739,20140101075400,22,230,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140101095100_m8p1603_66p25,4949257,4949257,-8.1603,66.25,20140101095100,5,205,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140101105100_m8p2081_66p2053,4949257,4949257,-8.2081,66.2053,20140101105100,43,195,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140101115100_m8p2572_66p2097,4949257,4949257,-8.2572,66.2097,20140101115100,54,235,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140101125100_m8p2947_66p1339,4949257,4949257,-8.2947,66.1339,20140101125100,49,225,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140101135100_m8p32_66p1031,4949257,4949257,-8.32,66.1031,20140101135100,43,220,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140101144300_m8p3694_66p0656,4949257,4949257,-8.3694,66.0656,20140101144300,5,225,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140101151800_m8p3631_66p065,4949257,4949257,-8.3631,66.065,20140101151800,5,0,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
