transmitter_no,count
102792,1
102793,1
102796,1
102803,1
102804,2
102810,1
102822,1
102837,1
102916,1
102920,1
102922,1
102936,1
102958,1
103013,1
103016,1
103019,1
103021,1
103022,1
103028,1
103034,1
103035,1
103045,1
103049,1
103070,1
103091,1
103104,1
103108,1
103110,1
103115,1
103121,1
103123,1
103134,1
103137,1
109870,1
109912,1
109916,1
109947,1
109948,1
109950,1
109961,1
109963,1
109967,1
109968,1
109970,1
109971,1
109974,1
109996,1
109997,1
110006,1
110008,1
110010,1
110019,1
110023,1
110030,1
110031,1
110032,1
110033,1
110047,1
110048,1
110050,1
110051,1
110090,1
110093,1
110096,1
110105,1
114465,1
116560,1
116639,1
116640,1
116645,1
116650,1
116838,1
116842,1
116858,1
116860,1
116915,1
116925,2
116950,1
116951,1
117009,1
123779,1
123787,1
123798,1
123981,1
124062,1
124065,1
124127,1
124152,1
124161,1
124163,1
124167,1
124170,1
124194,1
124230,1
124231,1
124233,1
124234,2
124235,1
124237,1
124242,1
124248,1
124256,1
124258,1
124265,1
124266,1
124267,1
124272,1
124384,1
124476,1
124495,1
124509,1
124546,1
124610,1
124613,1
124616,1
124617,1
124622,1
124623,1
124652,1
124659,1
124668,1
124671,1
124688,1
124689,1
124698,1
124724,1
124725,1
124743,2
124745,1
124766,1
124769,1
124778,1
124779,1
124786,1
124790,1
124791,1
124794,1
124795,1
124798,1
124805,1
124807,1
124812,1
124815,1
124837,1
124851,1
124852,1
124861,1
124868,1
124881,2
124882,1
124883,1
124885,1
124888,1
124889,1
124891,1
124892,1
124906,1
124939,1
125028,1
125037,1
125050,1
125063,1
125064,1
125088,1
125089,1
125094,1
125097,1
125102,1
125118,1
125127,1
125139,1
125141,1
125147,1
125278,1
125279,1
125290,1
125308,1
125312,1
125318,1
125323,1
125325,1
125327,1
125332,1
125333,1
125334,1
125342,1
125343,1
125346,1
125351,1
125358,1
125376,1
125377,1
125386,1
125389,1
125406,1
125408,1
125440,1
125452,1
125456,1
125487,1
125523,1
125524,1
125532,1
125536,1
125537,1
125538,1
125539,1
126843,1
126845,1
126846,1
126848,1
133572,1
133573,1
133574,1
133576,1
133577,1
133578,1
133579,1
140122001,1
140122002,1
140122004,1
140122006,1
140122008,1
140122009,1
140122010,1
140122015,1
140122018,1
140122019,1
140122023,1
140122025,1
140122028,1
140122031,1
140122032,1
140122034,1
140122035,1
140122036,1
140122037,1
140122039,1
140122041,1
140122045,1
140247,1
140248,1
140249,1
140251,1
140292,1
140305,1
140352,1
140365,1
140401,1
140422,1
140423,1
140425,1
140427,1
140431,1
140433,1
140436,1
140437,1
140439,1
140450,1
140464,1
140466,1
140473,1
140516,1
140519,1
140528,1
140534,1
140597,1
140614,1
140629,1
140634,1
141220,1
141221,1
141222,1
141223,1
141225,1
141226,1
141227,1
141228,1
141229,1
141231,1
141232,1
141237,1
143107,1
143230,1
31051921,1
31051922,1
31051923,1
31051925,1
31051926,1
31051927,1
31051928,1
31051929,1
31056665,1
31056669,1
31056670,1
31056671,1
31056673,1
31056677,1
31056678,1
31057315,1
31057316,1
31057319,1
