transmitter_no,registered_gear_type,gross_tonnage,width,length
102804,Pukat cincin Pelagis Besar dengan satu kapal,121,7.69,25.62
102804,Purse Seine (Pukat Cincin) Pelagis Kecil,121,7.69,25.62
116925,Pukat cincin Pelagis Besar dengan satu kapal,103,6.12,23.9
116925,Pukat cincin Pelagis Besar dengan satu kapal,188,8.3,27.99
124234,Jaring insang oseanik,48,5.1,22
124234,Rawai dasar,48,5.1,22
124743,Jaring insang oseanik,33,5.7,22.2
124743,Rawai dasar,33,5.7,22.2
124881,Purse Seine (Pukat Cincin) Pelagis Kecil,98,7.65,21.36
124881,Purse Seine (Pukat Cincin) Pelagis Kecil,98,7.65,21.93
31057351,Bouke ami,38,5.1,18
31057351,Pancing Cumi (squid jigging),38,5.1,18
31085973,Bouke ami,59,5.15,19.03
31085973,Bouke ami,59,5.15,20.55
31100131,Jaring insang oseanik,47,5.14,24.96
31100131,Pukat cincin Pelagis Besar dengan satu kapal,47,5.14,24.96
40408034,Purse Seine (Pukat Cincin) Pelagis Kecil,69,7.16,21.39
40408034,Purse Seine (Pukat Cincin) Pelagis Kecil,98,7.54,21.39
40408364,Bouke ami,59,6.1,20.96
40408364,Bouke ami,59,6.1,21.83
40408414,Pancing Cumi (squid jigging),65,6.7,20.8
40408414,Pengangkut,65,6.7,23.9
40408755,Bouke ami,48,5.2,19
40408755,Bouke ami,49,5.2,19
40408832,Pukat cincin Pelagis Besar dengan satu kapal,48,5,25.15
40408832,Purse Seine (Pukat Cincin) Pelagis Kecil,48,5,25.15
40408932,Purse Seine (Pukat Cincin) Pelagis Kecil,76,6.42,22.34
40408932,Rawai Tuna,86,6.64,23.52
40409706,Hand Line Tuna,98,6.2,24.5
40409706,Pancing Cumi (squid jigging),98,6.2,24.5
40510036,Bouke ami,48,5.78,20
40510036,Bouke ami,94,6.75,22.85
40510105,Pukat cincin Pelagis Besar dengan satu kapal,95,6.55,23.96
40510105,Purse Seine (Pukat Cincin) Pelagis Kecil,95,6.55,23.96
40513423,Pancing Cumi (squid jigging),88,7.3,24.09
40513423,Rawai Tuna,115,7.18,25.1
41003,Pukat cincin Pelagis Besar dengan satu kapal,128,7.73,25.54
41003,Purse Seine (Pukat Cincin) Pelagis Kecil,128,7.73,25.54
42653,Pukat cincin Pelagis Besar dengan satu kapal,116,7.73,25.1
42653,Purse Seine (Pukat Cincin) Pelagis Kecil,116,7.73,25.1
44273,Pengangkut,120,8.01,27.59
44273,Rawai Tuna,120,8.01,27.59
4464859,Bouke ami,68,6.4,23.87
4464859,Rawai Tuna,68,6.4,23.87
4488256,Jaring insang oseanik,80,5.84,25.65
4488256,Jaring insang oseanik,81,5.84,25.65
4492431,Pukat cincin Pelagis Besar dengan satu kapal,86,7.63,20.52
4492431,Purse Seine (Pukat Cincin) Pelagis Kecil,86,7.63,20.52
4511156,Pukat cincin Pelagis Besar dengan satu kapal,99,5.96,31.32
4511156,Purse Seine (Pukat Cincin) Pelagis Kecil,99,5.96,31.32
4512143,Rawai Tuna,86,6.96,24.86
4512143,Rawai Tuna,86,6.96,27.35
4538628,Hand Line Tuna,84,6.1,23.4
